time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,follows,media views,media engagements,promoted media engagements,count_#
2023-11-09 11:36 +0000,30.0,1.0,0.03333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-09 11:33 +0000,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-09 11:30 +0000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-09 11:24 +0000,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-08 23:50 +0000,64.0,3.0,0.046875,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-08 23:46 +0000,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-07 12:22 +0000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-07 01:17 +0000,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-07 00:47 +0000,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-06 23:36 +0000,21.0,5.0,0.2380952380952381,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0,0,0,-,0
2023-11-06 23:32 +0000,24.0,4.0,0.16666666666666666,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-06 23:10 +0000,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-06 23:07 +0000,37.0,3.0,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,3,-,0
